Name in documentation	Category	Qty	Full Name	Notes	Supplier 1	Part No	Link
allen key	tool	1					
bearing	part	1	bearing 10mm		RS	618-9884	https://befr.rs-online.com/web/p/ball-bearings/6189884?redirect-relevancy-data=7365617263685F636173636164655F6F726465723D31267365617263685F696E746572666163655F6E616D653D4931384E525353746F636B4E756D626572267365617263685F6D617463685F6D6F64653D6D61746368616C6C267365617263685F7061747465726E5F6D6174636865643D5E2828282872737C5253295B205D3F293F285C647B337D5B5C2D5C735D3F5C647B332C347D5B705061415D3F29297C283235285C647B387D7C5C647B317D5C2D5C647B377D29292924267365617263685F747970653D52535F53544F434B5F4E554D424552267365617263685F77696C645F63617264696E675F6D6F64653D4E4F4E45267365617263685F6B6579776F72643D36313839383834267365617263685F6B6579776F72645F6170703D3631383938383426
cable	part	1	Multicore Cable		FARNELL	1204281	https://uk.farnell.com/lapp-kabel/0034405/cable-liycy-5core-0-25mm-50m/dp/1204281?ost=1204281
Click here	part	1	Pipe 0,040"		VWR	228-1702	https://be.vwr.com/store/catalog/product.jsp?catalog_number=228-1702
heat shrink	part	1	RS PRO Heat Shrink Tubing		RS	700-4624	https://uk.rs-online.com/web/p/heat-shrink-tubing/7004624?searchId=222870df-40eb-45f3-b95a-6bf57d72900d&gb=s
LEMO connector	part	1	Lemo FGG.0B.305.CLAD52Z		FARNELL	3817258	https://be.farnell.com/fr-BE/lemo/fgg-0b-305-clad52z/fiche-s0-5-voies-5mm/dp/3817258?ost=3817258
M2x6	part	1	M2 Pan Head M2x6		RS	528-693	https://befr.rs-online.com/web/p/machine-screws/0528693
M3x12 CHC	part	1	M3x12 CHC screw black		RS	467-9802	https://befr.rs-online.com/web/p/socket-screws/4679802
M3x6	part	4	M3x6 Pan Steel Machine Screws DIN 7985Z		RS	560-580	https://uk.rs-online.com/web/p/machine-screws/0560580?searchId=7490213b-4339-4d40-a498-d6648054c459&gb=s
screw driver	tool	1					
servo motor	part	1	Servo Parallax Inc 4		RS	781-3058	https://befr.rs-online.com/web/p/servo-motors/7813058
soldering iron	tool	1					
stripping pliers	tool	1					
wire cutter	tool	1					
